Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Congruent,0.0,Target,0,0.021362042790647913
Congruent,0.0,Target,1,0.031422185490089585
Congruent,0.0,Target,2,0.03533532134450336
Congruent,0.0,Target,3,0.05144318374010121
Congruent,0.0,Target,4,0.05438356535486513
Congruent,0.0,Target,5,0.06435339102725976
Congruent,0.0,Target,6,0.06073308066782973
Congruent,0.0,Target,7,0.08985929962065889
Congruent,0.0,Target,8,0.08606623177041822
Congruent,0.0,Target,9,0.08820815947838127
Congruent,0.0,Target,10,0.09379702200885953
Congruent,0.0,Target,11,0.08750818231847228
Congruent,0.0,Target,12,0.09246319452550535
Congruent,0.0,Target,13,0.09428141057582164
Congruent,0.0,Target,14,0.08559205373862713
Congruent,0.0,Target,15,0.09896899699460625
Congruent,0.0,Target,16,0.08848634117805376
Congruent,0.0,Target,17,0.0883023567895246
Congruent,0.0,Target,18,0.07186322880954277
Congruent,0.0,Target,19,0.07107425039270665
Congruent,0.0,Target,20,0.07118990151609135
Congruent,0.0,Target,21,0.060528141678674374
Congruent,0.0,Target,22,0.05129720847570996
Congruent,0.0,Target,23,0.06209533793806303
Congruent,0.0,Target,24,0.055820566055751066
Congruent,0.0,Target,25,0.06553645424158654
Congruent,0.5,All,0,0.02029679569485967
Congruent,0.5,All,1,0.01785653494838958
Congruent,0.5,All,2,0.025199893526437263
Congruent,0.5,All,3,0.031695508575510414
Congruent,0.5,All,4,0.04329442276752421
Congruent,0.5,All,5,0.0552423007704968
Congruent,0.5,All,6,0.05029518490487207
Congruent,0.5,All,7,0.06045327571577334
Congruent,0.5,All,8,0.05244576924458323
Congruent,0.5,All,9,0.05746537849070534
Congruent,0.5,All,10,0.06044440360532866
Congruent,0.5,All,11,0.05674363050853745
Congruent,0.5,All,12,0.05592641352199107
Congruent,0.5,All,13,0.05830349197245336
Congruent,0.5,All,14,0.05588686096681548
Congruent,0.5,All,15,0.061005444898610074
Congruent,0.5,All,16,0.05745202267305955
Congruent,0.5,All,17,0.0535436829101176
Congruent,0.5,All,18,0.05584620589109522
Congruent,0.5,All,19,0.04865174829139419
Congruent,0.5,All,20,0.043320352750061644
Congruent,0.5,All,21,0.038782322838799
Congruent,0.5,All,22,0.03104170872940726
Congruent,0.5,All,23,0.04347668440018352
Congruent,0.5,All,24,0.03934753437319564
Congruent,0.5,All,25,0.04858448970065053
Congruent,0.5,Context,0,0.026880629002279298
Congruent,0.5,Context,1,0.0324437078404343
Congruent,0.5,Context,2,0.09416429561412361
Congruent,0.5,Context,3,0.18083276380439123
Congruent,0.5,Context,4,0.18417694538579563
Congruent,0.5,Context,5,0.21525171308017715
Congruent,0.5,Context,6,0.17347450016725272
Congruent,0.5,Context,7,0.21043667875791547
Congruent,0.5,Context,8,0.1538208019390995
Congruent,0.5,Context,9,0.18406783443505523
Congruent,0.5,Context,10,0.22978106667755344
Congruent,0.5,Context,11,0.23078446289906726
Congruent,0.5,Context,12,0.1910598297160135
Congruent,0.5,Context,13,0.21676174922455835
Congruent,0.5,Context,14,0.1757983464267772
Congruent,0.5,Context,15,0.1929023197534856
Congruent,0.5,Context,16,0.19974151411496396
Congruent,0.5,Context,17,0.16398058320277709
Congruent,0.5,Context,18,0.12788495419579496
Congruent,0.5,Context,19,0.12106049535125006
Congruent,0.5,Context,20,0.11460047020774139
Congruent,0.5,Context,21,0.09655299767349566
Congruent,0.5,Context,22,0.06791693264695788
Congruent,0.5,Context,23,0.09855986549925694
Congruent,0.5,Context,24,0.07250026462591501
Congruent,0.5,Context,25,0.10690879803476246
Congruent,0.5,Target,0,0.022093240763781687
Congruent,0.5,Target,1,0.05596599275447136
Congruent,0.5,Target,2,0.13118225696734062
Congruent,0.5,Target,3,0.11745955605437261
Congruent,0.5,Target,4,0.11664753242584518
Congruent,0.5,Target,5,0.1160812299923813
Congruent,0.5,Target,6,0.12658453002660322
Congruent,0.5,Target,7,0.1408008348327617
Congruent,0.5,Target,8,0.11305121847982305
Congruent,0.5,Target,9,0.12511773246151756
Congruent,0.5,Target,10,0.13429855595851087
Congruent,0.5,Target,11,0.12858091071902414
Congruent,0.5,Target,12,0.13417147008209107
Congruent,0.5,Target,13,0.13767349491583708
Congruent,0.5,Target,14,0.12052478951560272
Congruent,0.5,Target,15,0.10223002137321054
Congruent,0.5,Target,16,0.12531595873978182
Congruent,0.5,Target,17,0.10492829375236837
Congruent,0.5,Target,18,0.0713598797914992
Congruent,0.5,Target,19,0.08469877249996476
Congruent,0.5,Target,20,0.09004058958574508
Congruent,0.5,Target,21,0.10301221119927766
Congruent,0.5,Target,22,0.09279517873701658
Congruent,0.5,Target,23,0.08326646769525836
Congruent,0.5,Target,24,0.08392836048809532
Congruent,0.5,Target,25,0.09095363055425848
Congruent,1.0,All,0,0.017109869734297966
Congruent,1.0,All,1,0.018428649553788444
Congruent,1.0,All,2,0.021804049833597964
Congruent,1.0,All,3,0.022439187755722793
Congruent,1.0,All,4,0.02669067252270695
Congruent,1.0,All,5,0.034668219051308166
Congruent,1.0,All,6,0.031693448032222585
Congruent,1.0,All,7,0.03524311428689555
Congruent,1.0,All,8,0.03632979366057182
Congruent,1.0,All,9,0.03798945912210533
Congruent,1.0,All,10,0.03648485386234068
Congruent,1.0,All,11,0.037179615569837815
Congruent,1.0,All,12,0.03726475532563611
Congruent,1.0,All,13,0.03595258283645302
Congruent,1.0,All,14,0.035113854281602866
Congruent,1.0,All,15,0.03698736883074028
Congruent,1.0,All,16,0.033279275010939434
Congruent,1.0,All,17,0.03462829517481125
Congruent,1.0,All,18,0.034804841415032414
Congruent,1.0,All,19,0.031263816000933586
Congruent,1.0,All,20,0.02929504463215578
Congruent,1.0,All,21,0.029810210954951868
Congruent,1.0,All,22,0.022306061413089974
Congruent,1.0,All,23,0.02910442241102269
Congruent,1.0,All,24,0.02600094494648386
Congruent,1.0,All,25,0.030596926215511324
Congruent,1.0,Context,0,0.026764169737814644
Congruent,1.0,Context,1,0.025279027749484033
Congruent,1.0,Context,2,0.09451749800215581
Congruent,1.0,Context,3,0.19392078570764495
Congruent,1.0,Context,4,0.21878530851847647
Congruent,1.0,Context,5,0.33614210374400494
Congruent,1.0,Context,6,0.27211976672493227
Congruent,1.0,Context,7,0.3353424968442361
Congruent,1.0,Context,8,0.23598418617410358
Congruent,1.0,Context,9,0.26546132955615875
Congruent,1.0,Context,10,0.37422898780065694
Congruent,1.0,Context,11,0.3975264912563886
Congruent,1.0,Context,12,0.31201030867283835
Congruent,1.0,Context,13,0.36253872909056384
Congruent,1.0,Context,14,0.27348796502851386
Congruent,1.0,Context,15,0.288571706214473
Congruent,1.0,Context,16,0.3251825249227126
Congruent,1.0,Context,17,0.26015884984638626
Congruent,1.0,Context,18,0.19724700602015893
Congruent,1.0,Context,19,0.20262329151424077
Congruent,1.0,Context,20,0.17748216199119707
Congruent,1.0,Context,21,0.15891032003085404
Congruent,1.0,Context,22,0.09138540573717344
Congruent,1.0,Context,23,0.14851210559444392
Congruent,1.0,Context,24,0.0869635502677158
Congruent,1.0,Context,25,0.14353424521812083
Congruent,1.0,Target,0,0.03281699898127722
Congruent,1.0,Target,1,0.07244152468294392
Congruent,1.0,Target,2,0.15209998749957415
Congruent,1.0,Target,3,0.13968438052517526
Congruent,1.0,Target,4,0.12770288703762286
Congruent,1.0,Target,5,0.12541535123117462
Congruent,1.0,Target,6,0.13408360792342208
Congruent,1.0,Target,7,0.1394991772690654
Congruent,1.0,Target,8,0.11509368832837912
Congruent,1.0,Target,9,0.12485870288599746
Congruent,1.0,Target,10,0.13642684635523633
Congruent,1.0,Target,11,0.13071324563664355
Congruent,1.0,Target,12,0.13220303364515038
Congruent,1.0,Target,13,0.14154884755745337
Congruent,1.0,Target,14,0.12335180075385675
Congruent,1.0,Target,15,0.09437864481355825
Congruent,1.0,Target,16,0.11762947168542084
Congruent,1.0,Target,17,0.10495915254912784
Congruent,1.0,Target,18,0.07367992551017284
Congruent,1.0,Target,19,0.08909925106331536
Congruent,1.0,Target,20,0.09112721254053872
Congruent,1.0,Target,21,0.11441688194758338
Congruent,1.0,Target,22,0.10011769761863999
Congruent,1.0,Target,23,0.09208507749504635
Congruent,1.0,Target,24,0.0910793450170994
Congruent,1.0,Target,25,0.0958990408564169
Incongruent,0.0,Target,0,0.02419007997041084
Incongruent,0.0,Target,1,0.034130637583952836
Incongruent,0.0,Target,2,0.04170762089482855
Incongruent,0.0,Target,3,0.06184379746178713
Incongruent,0.0,Target,4,0.07187170094499985
Incongruent,0.0,Target,5,0.08118367590941489
Incongruent,0.0,Target,6,0.07716698596509648
Incongruent,0.0,Target,7,0.12666258128341654
Incongruent,0.0,Target,8,0.11623441708621149
Incongruent,0.0,Target,9,0.12318198137286612
Incongruent,0.0,Target,10,0.13472318003095649
Incongruent,0.0,Target,11,0.13328390071926383
Incongruent,0.0,Target,12,0.1389373294365428
Incongruent,0.0,Target,13,0.1438169967524671
Incongruent,0.0,Target,14,0.12910233323380133
Incongruent,0.0,Target,15,0.15185747732837485
Incongruent,0.0,Target,16,0.13547822022217088
Incongruent,0.0,Target,17,0.12494166293090173
Incongruent,0.0,Target,18,0.1041157425764729
